Row.names	MeanDecreaseAccuracy	MeanDecreaseGini	Rank_Gini_RF	s1	abs_coeff	Rank_absC_ENET	RankProd	RankProd_Rank
LOC107392205	-1.07743016897823	0.414927700513981	103	0.0365661654182698	0.0365661654182698	178	18334	124
LOC107392391	0.640265126709109	0.380051342220613	126	0.131531566756728	0.131531566756728	70	8820	84
LOC107392507	-0.0551719194080335	0.206855335783152	420	0.042907588758104	0.042907588758104	166	69720	242
LOC107392596	6.35938035963948	2.46984625541373	8	-0.264730547167017	0.264730547167017	23	184	11
LOC107392692	0.713810183635607	0.160624695390304	626	0	0	542.5	339605	643
LOC107392778	0.513357325978362	0.420257001297453	98	0.0516995732670016	0.0516995732670016	152	14896	112
LOC107392896	1.2199817422072	0.495739884635258	74	-0.208718871338814	0.208718871338814	37	2738	45
LOC107392929	1.14480102440408	0.252369468184752	289	0	0	542.5	156782.5	369
LOC107392959	2.53387820869796	0.18740817426285	514	0	0	542.5	278845	540
LOC107393023	2.1742643935846	0.124487616693951	759	0	0	542.5	411757.5	766
LOC107393031	0.744696936332517	0.334009940196717	162	0	0	542.5	87885	272
LOC107393036	1.3798557812193	0.268723436089318	259	0	0	542.5	140507.5	348
LOC107393132	-1.17233205550794	0.0808142785135459	817	0	0	542.5	443222.5	817
LOC107393140	1.03980419710142	0.227622189278978	348	-0.0252579328307631	0.0252579328307631	203	70644	245
LOC107393160	0.831361555356627	0.196462868271818	457	0	0	542.5	247922.5	494
LOC107393192	-0.806707082411564	0.213588642060546	397	-0.0271640271659618	0.0271640271659618	199	79003	257
LOC107393337	2.86881082474154	0.44726009935514	86	-0.258617107220887	0.258617107220887	26	2236	42
LOC107393392	4.20024389698189	0.264548251255867	266	0	0	542.5	144305	352
LOC107393501	1.95002773619399	0.188128865239974	510	0	0	542.5	276675	536
LOC107393576	-1.15421815774798	0.279771692690683	238	0	0	542.5	129115	336
LOC107393714	1.36489300753273	0.248014691052525	299	0	0	542.5	162207.5	376
LOC107393780	1.23139669301025	0.303547127673541	205	0	0	542.5	111212.5	311
LOC107393854	0.888044487069751	0.289698330910349	220	0.0659939726597594	0.0659939726597594	135	29700	146
LOC107393870	0.32148268625874	0.245810266926685	306	-0.0300595326389955	0.0300595326389955	189	57834	215
LOC107393895	0.255466240021346	0.181958816080788	530	0	0	542.5	287525	555
LOC107394017	0.963816366676794	0.1631530001736	613	0	0	542.5	332552.5	631
LOC107394186	0.525279890471749	0.176412896566251	559	0	0	542.5	303257.5	583
LOC107394327	-0.470488185115138	0.487677334182926	76	0.00835114523553834	0.00835114523553834	235	17860	121.5
LOC107394330	1.92691867962268	0.211455613980002	407	0	0	542.5	220797.5	451
LOC107394334	-0.20622332709153	0.104215750516083	800	0	0	542.5	434000	801
LOC107394356	2.42532695145575	0.226820095077679	352	-0.0439101041690091	0.0439101041690091	165	58080	217
LOC107394367	1.62912539032046	0.246541353965068	303	-0.0629516585277219	0.0629516585277219	139	42117	168
LOC107394376	0.177071715235453	0.133244309321741	727	-0.0522300959860613	0.0522300959860613	150	109050	308
LOC107394391	-0.0179096082191856	0.108529934520778	789	0	0	542.5	428032.5	791
LOC107394398	1.44104064836187	0.207773286305818	418	0	0	542.5	226765	461
LOC107394422	0.758749387357444	0.288281531014303	222	-0.00273230725192009	0.00273230725192009	247	54834	206
LOC107394502	0.879207437943108	0.236822027140311	326	0	0	542.5	176855	395
LOC107394525	0.285595183766875	0.146272355631036	683	0	0	542.5	370527.5	695
LOC107394569	-0.624826658185472	0.230323959593033	341	0	0	542.5	184992.5	408
LOC107394637	-0.801537691157932	0.171648501402619	583	0	0	542.5	316277.5	603
LOC107394665	-0.503784277372297	0.129386691971424	740	0	0	542.5	401450	748
LOC107394700	0.611566173015624	0.159557920550697	630	0	0	542.5	341775	647
LOC107394772	0.056492033071334	0.180912901038318	534	0	0	542.5	289695	559
LOC107394856	7.19023231877002	3.66908130748901	3	-0.446272652499868	0.446272652499868	7	21	3
LOC107394869	-0.303246123959688	0.302408740157678	206	0.091125773666268	0.091125773666268	103	21218	131
LOC107395084	0.316178715832137	0.241901949561569	318	-0.07219159905357	0.07219159905357	123	39114	161
LOC107395104	0.860588931968231	0.411502475688159	106	-0.0696870083677311	0.0696870083677311	128	13568	106
LOC107395531	-2.09179248228713	0.252844561491697	286	0	0	542.5	155155	367
LOC107395790	-0.7728666384623	0.112995540214947	778	0	0	542.5	422065	782
LOC107395805	-0.997133017747473	0.155020904438365	654	0.00160382495577761	0.00160382495577761	252	164808	381
